"USERID"|"GENDER"|"DOB"|"COUNTRY"|"EDUCATION"|"HOBBY"
39060|"F"|1982-09-18|"Ethiopia"|" "|"Laser tag"
26050|"M"|1988-11-22|"United Arab Emirates"|" "|"Ultra running"
48580|"M"|1975-12-06|"Martinique"|"Bachelor"|"Pottery"
40220|"F"|1984-11-16|"Germany"|"Master"|"Pottery"
25160|"M"|1977-12-05|"Madagascar"|"Master"|"Hamsters"
37700|"M"|1972-12-19|"Guinea"|"High school"|"Other"
25080|"M"|1987-03-03|"Japan"|"Bachelor"|"Running"
34140|"N"|1972-06-11|"Algeria"|"High school"|"Cheerleading"
27260|"F"|2000-12-28|"Puerto Rico"|"High school"|"Cheerleading"
37480|"M"|1966-04-09|"Antarctica"|" "|"Beekeeping"
19140|"F"|1994-06-14|"Senegal"|"Master"|"Other"
17410|"F"|1978-03-30|"France"|"Master"|"Macrame"
20880|"F"|1978-03-20|"Chile"|"Master"|"Kayaking"
49710|"F"|1968-09-12|"Japan"|"Master"|" "
27760|"F"|1980-02-23|"Gibraltar"|" "|"Meteorology"
48100|"F"|1973-04-25|"Reunion"|"Master"|"Ultra running"
40240|"F"|1990-07-01|"Martinique"|" "|"Paintball"
29220|"F"|1993-09-26|"Morocco"|"High school"|"Embroidery"
38130|"F"|1985-06-09|"Mexico"|"Bachelor"|"Painting"
12670|"F"|1982-05-03|"Uruguay"|"High school"|"Laser tag"
48550|"M"|1975-02-19|"France"|"Bachelor"|"Other"
48520|"M"|1983-02-20|"Gibraltar"|"High school"|"Puzzles"
43290|"F"|1984-08-16|"Guernsey"|"High school"|"Other"
27120|"F"|1989-12-15|"Macedonia"|"High school"|"Hunting"
17820|"F"|1980-07-01|"Liberia"|" "|"Other"
31310|"N"|1971-09-06|"Jordan"|" "|"Hunting"
13240|"F"|1993-12-30|"Malta"|"Bachelor"|"Horseback riding"
42330|"F"|1993-07-27|"Bahamas"|"Bachelor"|"Puzzles"
46530|"F"|1967-03-24|"Japan"|" "|"Embroidery"
40380|"M"|1971-01-11|"Greenland"|"Bachelor"|"Flying"
20860|"F"|1974-06-11|"Cyprus"|"Less than high school"|"Climbing"
48860|"F"|1993-01-04|"Macedonia"|"High school"|" "
35460|"F"|1977-02-15|"Mozambique"|"Less than high school"|"Pottery"
15600|"F"|1992-03-02|"United Arab Emirates"|"Master"|"Geocaching"
21850|"F"|1966-02-20|"Chile"|"Bachelor"|"Flying"
44690|"F"|1987-08-03|"Sweden"|" "|"Embroidery"
16610|"M"|1970-08-15|"Japan"|"High school"|"Saxophone"
16720|"F"|1970-05-01|"Thailand"|"Less than high school"|"Beekeeping"
34550|"F"|1986-04-08|"Uruguay"|"High school"|"Kayaking"
26300|"F"|1970-10-19|"Uganda"|"Less than high school"|"Painting"
21350|"M"|2001-11-25|"Germany"|"Master"|"Sculpting"
14070|"F"|1967-10-05|"Ethiopia"|"Less than high school"|"Pottery"
31340|"F"|1973-03-23|"Japan"|"High school"|"Embroidery"
29870|"F"|1974-02-04|"Algeria"|"Master"|"Macrame"
38990|"F"|1968-10-06|"South Africa"|"Master"|"Hunting"
36510|"F"|1987-12-12|"Andorra"|"Bachelor"|"Sculpting"
30560|"M"|1996-07-07|"Algeria"|"High school"|"Saxophone"
15770|"F"|2001-03-05|"Guinea"|"High school"|"Puzzles"
20160|"F"|1987-09-06|"Martinique"|" "|" "
26950|"M"|1988-11-27|"Uganda"|"Less than high school"|"Flying"
45040|"F"|1983-02-18|"Croatia"|"High school"|"Flying"
16050|"F"|1984-03-24|"Madagascar"|"Less than high school"|"Beekeeping"
35110|"M"|1966-05-05|"Reunion"|"Bachelor"|"Climbing"
10210|"F"|1993-02-23|"Barbados"|"Less than high school"|"Paintball"
43930|"M"|1970-05-26|"Uganda"|"Bachelor"|"Geocaching"
